username;Data;stories
ocupa_politica;2/6/2018-23:36;0
agoramovimento;2/6/2018-23:36;0
as_muitas;2/6/2018-23:36;0
bancadaativista;2/6/2018-23:36;0
renovabr;2/6/2018-23:36;2
midianinja;2/6/2018-23:36;6
342artes;2/6/2018-23:36;0
movimentosemterra;2/6/2018-23:36;0
movimentolutanosbairros;2/6/2018-23:36;0
uneoficial;2/6/2018-23:36;0
cutbrasil;2/6/2018-23:36;0
coletivojuntos;2/6/2018-23:36;0
movimentocorrenteza;2/6/2018-23:36;0
ujs_brasil;2/6/2018-23:36;5
ujr_brasil;2/6/2018-23:36;0
movimentoolga;2/6/2018-23:36;0
ubesoficial;2/6/2018-23:36;1
ujcbrasil;2/6/2018-23:36;0
rua_juventudeanticapitalista;2/6/2018-23:36;0
afronte.nacional;2/6/2018-23:36;5
contag;2/6/2018-23:36;0
portalgeledes;2/6/2018-23:36;0
marchamulheres;2/6/2018-23:36;0
naokahlo;2/6/2018-23:36;0
vemprarua_br;2/6/2018-23:36;0
revoltadoson;2/6/2018-23:36;0
estudantespelaliberdade;2/6/2018-23:36;0
mblivre;2/6/2018-23:36;4
movimentocontraacorrupcao;2/6/2018-23:36;0
nasruasbrasil;2/6/2018-23:36;0
luizinacioluladasilvaoficial;2/6/2018-23:36;0
fernandohaddadoficial;2/6/2018-23:36;0
cirogomes;2/6/2018-23:36;0
jdoriajr;2/6/2018-23:36;2
geraldoalckmin_;2/6/2018-23:36;0
jairmessiasbolsonaro;2/6/2018-23:36;0
micheltemer;2/6/2018-23:36;0
_marinasilva_;2/6/2018-23:36;0
levyfidelix28;2/6/2018-23:36;0
pastoreveraldo;2/6/2018-23:36;0
robertoljustus;2/6/2018-23:36;0
guilhermeboulos.oficial;2/6/2018-23:36;24
jaqueswagner;2/6/2018-23:36;0
fernando_collor;2/6/2018-23:36;0
buarquecristovam;2/6/2018-23:36;0
